n,accuracy,tokens,usd,turns,msg_density,redundancy,overhead_pct,efficiency,absorb,error_amp,p_held_and_lost,p_agent_wrong,n_agents,sas_baseline,tier,bench,N,nmi_class,arch
250,0.18,322.984,4.7244000000000004e-05,1.0,0.0,0.0,-20.269763216620262,0.22576127610036412,-0.030150753768844105,0.0,0.0,0.82,1,0.20399999999999996,T1,MedAgentsBench-hard,1,Independent,Independent
250,0.176,969.968,0.000142136,3.0,0.0,0.36916870883291325,139.44151509765587,0.07350437952592251,-0.03517587939698481,0.2934108310512491,0.2413793103448276,0.8226666666666667,3,0.20399999999999996,T1,MedAgentsBench-hard,3,Independent,Independent
250,0.164,1617.488,0.000237176,5.0,0.0,0.36682357145315636,299.285107727551,0.04107340765433809,-0.05025125628140694,0.44940453898584376,0.36923076923076925,0.8216,5,0.20399999999999996,T1,MedAgentsBench-hard,5,Independent,Independent
250,0.16,2265.42,0.00033235999999999997,7.0,0.0,0.36400324247995525,459.23040464482494,0.028610747675927643,-0.055276381909547645,0.521920668058455,0.42857142857142855,0.8211428571428572,7,0.20399999999999996,T1,MedAgentsBench-hard,7,Independent,Independent
250,0.164,2912.08,0.000427092,9.0,0.0,0.36438344936554645,618.8617019175701,0.02281384577346776,-0.05025125628140694,0.5016915269875442,0.4142857142857143,0.8257777777777778,9,0.20399999999999996,T1,MedAgentsBench-hard,9,Independent,Independent
250,0.2,1007.5,0.000142352,2.584,0.573,0.0,148.70647945178425,0.0804160794044665,-0.005025125628140708,0.27100271002710025,0.2222222222222222,0.82,2,0.20399999999999996,T1,MedAgentsBench-hard,1,Centralized,Centralized
250,0.204,1747.432,0.00024596000000000004,4.496,0.936,0.36890577585945394,331.3624424827695,0.04729201708564338,0.0,0.27245291454758847,0.22413793103448276,0.8226666666666667,4,0.20399999999999996,T1,MedAgentsBench-hard,3,Centralized,Centralized
250,0.204,2545.892,0.000357888,6.6,1.1458333333333333,0.36683337718858655,528.4663388431384,0.03245997237903257,0.0,0.37450378248820315,0.3076923076923077,0.8216,6,0.20399999999999996,T1,MedAgentsBench-hard,5,Centralized,Centralized
250,0.216,3310.348,0.000466464,8.656,1.2768,0.36400324247995525,717.1761755238264,0.026432488668865023,0.015075376884422124,0.4001391788448156,0.32857142857142857,0.8211428571428572,8,0.20399999999999996,T1,MedAgentsBench-hard,7,Centralized,Centralized
250,0.196,3946.352,0.000558568,10.568,1.2834,0.36438344936554645,874.1769852084443,0.020119547369317287,-0.010050251256281416,0.4324926956789174,0.35714285714285715,0.8257777777777778,10,0.20399999999999996,T1,MedAgentsBench-hard,9,Centralized,Centralized
250,0.18,322.972,4.7236e-05,1.0,0.0,0.0,-20.272725477417705,0.22576966424334,-0.030150753768844105,0.0,0.0,0.82,1,0.20399999999999996,T1,MedAgentsBench-hard,1,Decentralized,Decentralized
250,0.156,1468.944,0.00020844399999999998,4.008,0.262,0.36890577585945394,262.6162687362995,0.04302068424664249,-0.060301507537688356,0.3982004135695523,0.3275862068965517,0.8226666666666667,3,0.20399999999999996,T1,MedAgentsBench-hard,3,Decentralized,Decentralized
250,0.184,3133.844,0.000431232,7.6,0.7253333333333334,0.36683337718858655,673.6052688745384,0.023784739763689576,-0.0251256281407034,0.35577859336379297,0.2923076923076923,0.8216,5,0.20399999999999996,T1,MedAgentsBench-hard,5,Decentralized,Decentralized
250,0.172,4504.836,0.000614108,10.556,1.152,0.36400324247995525,1012.041590141596,0.015467047413046777,-0.040201005025125525,0.4871259568545581,0.4,0.8211428571428572,7,0.20399999999999996,T1,MedAgentsBench-hard,7,Decentralized,Decentralized
250,0.168,6606.852,0.000884224,14.4,1.6906666666666668,0.36438344936554645,1530.934889507672,0.010300840400239025,-0.04522613065326623,0.4843918191603875,0.4,0.8257777777777778,9,0.20399999999999996,T1,MedAgentsBench-hard,9,Decentralized,Decentralized
250,0.16,328.44,4.7972e-05,1.012,0.0,0.0,-18.922921974050595,0.1973430763609792,-0.055276381909547645,0.0,0.0,0.84,2,0.20399999999999996,T1,MedAgentsBench-hard,1,Hybrid,Hybrid
250,0.16,339.796,4.944e-05,1.036,0.0,0.004007797983857985,-16.119635839405973,0.19074786048099449,-0.055276381909547645,0.0,0.0,0.828125,4,0.20399999999999996,T1,MedAgentsBench-hard,3,Hybrid,Hybrid
250,0.16,351.152,5.0908e-05,1.06,0.0,0.0039925449978741225,-13.316349704761343,0.18457921355993986,-0.055276381909547645,0.0,0.0,0.816793893129771,6,0.20399999999999996,T1,MedAgentsBench-hard,5,Hybrid,Hybrid
250,0.16,362.484,5.2372e-05,1.084,0.0,0.0042769808956017305,-10.518988091711599,0.17880888535769857,-0.055276381909547645,0.0,0.0,0.8059701492537313,8,0.20399999999999996,T1,MedAgentsBench-hard,7,Hybrid,Hybrid
250,0.16,373.88,5.3856e-05,1.108,0.0,0.004359721298567254,-7.705827754408833,0.17335872472451055,-0.055276381909547645,0.0,0.0,0.7992700729927007,10,0.20399999999999996,T1,MedAgentsBench-hard,9,Hybrid,Hybrid
250,0.2,336.772,4.9535999999999995e-05,1.0,0.0,0.0,-16.866125560361002,0.24057581984250473,-0.005025125628140708,0.0,0.0,0.8,1,0.20399999999999996,T1,MedAgentsBench-hard,1,SAS-repeated,Self-consistency
250,0.188,442.44,9.180399999999999e-05,1.0,0.0,0.37016318986577085,9.218555601635165,0.17213192297260646,-0.02010050251256283,0.21605738484141385,0.17543859649122806,0.812,3,0.20399999999999996,T1,MedAgentsBench-hard,3,SAS-repeated,Self-consistency
250,0.192,548.096,0.000134092,1.0,0.0,0.37084527959910274,35.300274502833894,0.14190658570761325,-0.015075376884422124,0.26323462709777745,0.21311475409836064,0.8096,5,0.20399999999999996,T1,MedAgentsBench-hard,5,SAS-repeated,Self-consistency
250,0.18,1043.336,0.00024696799999999997,2.0,0.0,0.37137114783304664,157.55277761320775,0.06988858814418365,-0.030150753768844105,0.41677404806391344,0.3382352941176471,0.8115555555555556,9,0.20399999999999996,T1,MedAgentsBench-hard,9,SAS-repeated,Self-consistency
250,0.184,1360.136,0.000373716,2.0,0.0,0.37059538852334695,235.75646266563973,0.054801625719780964,-0.0251256281407034,0.46798117378592313,0.3783783783783784,0.8085333333333333,15,0.20399999999999996,T1,MedAgentsBench-hard,15,SAS-repeated,Self-consistency
250,0.664,336.036,4.94e-05,1.0,0.0,0.0,-21.976205292047073,0.8510224380721113,0.011764705882352951,0.0,0.0,0.336,1,0.6599999999999999,T1,MedQA,1,Independent,Independent
250,0.668,1006.62,0.000147904,3.0,0.0,0.3626786132802441,133.72588719339467,0.285804883670104,0.023529411764705903,0.14923063318004953,0.05113636363636364,0.3426666666666667,3,0.6599999999999999,T1,MedQA,3,Independent,Independent
250,0.668,1678.544,0.000246748,5.0,0.0,0.3601085452040218,289.73911266729203,0.17139670571638277,0.023529411764705903,0.2144365267880707,0.07222222222222222,0.3368,5,0.6599999999999999,T1,MedQA,5,Independent,Independent
250,0.664,2350.768,0.0003458,7.0,0.0,0.36245015845529727,445.82199478039587,0.1216513820164304,0.011764705882352951,0.301054823667889,0.10270270270270271,0.34114285714285714,7,0.6599999999999999,T1,MedQA,7,Independent,Independent
250,0.672,3024.064,0.000445276,9.0,0.0,0.36253328677962265,602.1537832842639,0.09570553004169226,0.03529411764705885,0.2835181451612903,0.0967741935483871,0.3413333333333333,9,0.6599999999999999,T1,MedQA,9,Independent,Independent
250,0.524,1002.656,0.00014176800000000002,2.472,0.559,0.0,132.80549080067982,0.22508060192129709,-0.39999999999999986,0.7888697647733792,0.26506024096385544,0.336,2,0.6599999999999999,T1,MedQA,1,Centralized,Centralized
250,0.628,1773.9,0.000248784,4.408,0.903,0.3626786132802441,311.87970762786637,0.15247170189976886,-0.09411764705882344,0.38136717368234874,0.13068181818181818,0.3426666666666667,4,0.6599999999999999,T1,MedQA,3,Centralized,Centralized
250,0.632,2579.228,0.000362624,6.456,1.0708333333333333,0.3601085452040218,498.8678474240975,0.10553246475301913,-0.08235294117647049,0.49485352335708627,0.16666666666666666,0.3368,6,0.6599999999999999,T1,MedQA,5,Centralized,Centralized
250,0.636,3269.648,0.00046216000000000003,8.392,1.1151,0.36249642526295284,659.1756368938711,0.08377508037562453,-0.07058823529411754,0.44365974014215226,0.15135135135135136,0.34114285714285714,8,0.6599999999999999,T1,MedQA,7,Centralized,Centralized
250,0.64,4025.628,0.000572148,10.464,1.2132,0.36253328677962265,834.7057239182324,0.06847074791808881,-0.058823529411764594,0.45677923387096775,0.15591397849462366,0.3413333333333333,10,0.6599999999999999,T1,MedQA,9,Centralized,Centralized
250,0.664,336.036,4.94e-05,1.0,0.0,0.0,-21.976205292047073,0.8510224380721113,0.011764705882352951,0.0,0.0,0.336,1,0.6599999999999999,T1,MedQA,1,Decentralized,Decentralized
250,0.668,1383.884,0.00019698399999999998,3.648,0.158,0.3626786132802441,221.32236163869567,0.20789091571258866,0.023529411764705903,0.14923063318004953,0.05113636363636364,0.3426666666666667,3,0.6599999999999999,T1,MedQA,3,Decentralized,Decentralized
250,0.676,2488.256,0.000349784,6.26,0.412,0.3601085452040218,477.74516815112696,0.1170066038221148,0.047058823529411806,0.1814462918975983,0.06111111111111111,0.3368,5,0.6599999999999999,T1,MedQA,5,Decentralized,Decentralized
250,0.668,4037.336,0.0005558119999999999,9.408,0.772,0.36249642526295284,837.4241903576635,0.07125909560165417,0.023529411764705903,0.301054823667889,0.10270270270270271,0.34114285714285714,7,0.6599999999999999,T1,MedQA,7,Decentralized,Decentralized
250,0.672,5463.196,0.000747796,12.384,1.0853333333333333,0.36253328677962265,1168.4929089541288,0.05297625199608435,0.03529411764705885,0.2992691532258065,0.10215053763440861,0.3413333333333333,9,0.6599999999999999,T1,MedQA,9,Decentralized,Decentralized
250,0.656,335.156,4.9236e-05,1.0,0.0,0.0,-22.180531433719388,0.8429767153206269,-0.011764705882352788,0.0,0.0,0.344,2,0.6599999999999999,T1,MedQA,1,Hybrid,Hybrid
250,0.656,335.156,4.9236e-05,1.0,0.0,0.0,-22.180531433719388,0.8429767153206269,-0.011764705882352788,0.0,0.0,0.344,4,0.6599999999999999,T1,MedQA,3,Hybrid,Hybrid
